con_Adelaide.xml
==============================
talk="p": 	Hey, Adelaide! How are you holding up?
talk="p": 	Oh.
talk="p": 	That charm was cute.
talk="n": 	I know, right! It's so kawaii! And it works, too. Just yesterday, I found a note worth #10 just lying in the street.
talk="p": 	You lucky mustard.
talk="n": 	Emere! Watch your language, there are children present.
talk="p": 	Oh, sorry. I should be careful around you.
con_Agrona.xml
==============================
talk="n": 	What business do you have with the Seraphim Ministry?
talk="p": 	I just came by to visit.
talk="n": 	We're not a friendly bunch, you know. Get out of here while you can.
talk="n": 	You're applying. I don't see why you'd go after a job like this when you can have a more honest job in your rich world.
talk="p": 	I make more this way. I've got a lot of mouths to feed at home.
talk="n": 	...I'll buy your story for now.
talk="n": 	Hey newbie. What do you need?
talk="p": 	You free?
talk="n": 	Yeah. What is it?
talk="p": 	You know the recent operation in Nulato? What didn't you sell?
talk="n": 	Why do you ask? Don't think since you'd joined the gang, that we'd spill all our secrets. I don't trust you yet. You seem fishy.
talk="p": 	Okay. Forget I asked.
talk="p": 	Why did you join the gang?
talk="n": 	That's a good question. I guess the answer is I needed the money. I don't have any education, so the job pool was small and already filled. I'm relatively new, just like you. I don't care for this job particularly, but whatever brings food on the table is good enough for me.
talk="p": 	How can you live with the guilt of stealing?
talk="n": 	To me, it's an okay price to pay for being able to raise my son up to be an honest man in the future. I never had an opportunity to go to school, so I feel Daisuke should have the chance to do life right. I'd do anything for my son.
talk="n": 	Hey, Emere. You trade cards with my kid?
talk="p": 	Yeah, I just happened to own the card he needed, so I gave it to him.
talk="n": 	You're a kind person. Nobody seems to get along quite well with him, so I appreciate you interacting with him. He's been really happy lately.
talk="p": 	It was nothing.
talk="n": 	If there's anything I can do to help, please let me know. I don't like having debts to people.
talk="p": 	Do you know about the Nulato robbery?
talk="n": 	Yeah, we sold all the furniture from that house, but we were unable to sell a few miscellaneous things.
talk="p": 	Where are the rest of the items stored?
talk="n": 	They're in the boss' office. But he's always in there, so you can't take anything, if that's what you're thinking.
talk="p": 	Can you help me with a robbery?
talk="n": 	What do you need robbed?
talk="p": 	My friend had a good luck charm stolen from her house in Nulato. I'd like to take it back.
talk="n": 	So your real reason for joining the Seraphim Ministry comes out, eh? I knew a rich girl like you wouldn't need the money. Lucky for you, I'm not the most loyal person here. Asked anybody else, and you would have been beaten dead out back.
talk="p": 	I was waiting until I found the right person to share my real secret with.
talk="n": 	You've chosen wisely. However, to go through with the robbery, we need some other gang members' assistance. Breaking into the boss' room isn't as easy as you think. I think we'll need at least two others. Tell me when you've found them and I'll help you out.
talk="p": 	Thanks, Agrona.
talk="n": 	It's payback for your kind help for my son, and nothing more.
talk="p": 	Why do you live in shoddy housing?
talk="n": 	You would think with all the money we make, we would have plenty left over for ourselves. But most of the money in each operation goes towards maintaining the gang. It costs money to keep the police off our backs and to run the place.
talk="p": 	So in the end, you earn less than in a regular job. That's tough.
talk="p": 	You're still willing to help me rob back my friend's item?
talk="n": 	Yep. This robbery will make us even. You find two others to help?
talk="p": 	I've enlisted the help of Woden and Mahli in our operation. They should be all the help we need.
talk="n": 	What an odd choice of partners... As long as they can cooperate with us. Actually, for the plan I had in mind, these few are perfect. When would you like to execute the plan?
talk="p": 	Tonight. I want to get out of this place.
talk="n": 	I don't blame you. Alright, here's the plan... We'll have to make Zephyr leave his office somehow. I propose that Mahli fakes a drunken rampage outside the base. Woden, a trusted member of the Seraphim Ministry, will warn Zephyr of the situation and ask him to help. Woden will tell him Mahli is exposing gang secrets and is resisting the gang's attempts to stop him. Mahli usually calms down in the presence of authority, so I think Zephyr will understand that he's the only one who can stop Mahli. When he leaves, Woden will keep the door from locking and allow us to break in. You and I will search for the item, and then you can escape.
talk="p": 	This plan sounds flawless. I'm ready.
talk="n": 	After this, you won't be allowed back in here again, you know that right?
talk="p": 	I know. I just hope Zephyr won't punish you guys.
talk="n": 	We'll make up an excuse that will probably involve bad talking you. Don't worry.
talk="n": 	We'll wait until nightfall...
talk="n": 	Keep your eye out for the charm. I'll look too, and take some things myself.
talk="n": 	You got it, hurry and get out of here while you have the chance!
talk="n": 	It's dangerous to come back here, Emere. I'd leave if I were you.
talk="p": 	I just wanted to check in with you.
talk="n": 	It's not worth your life to do so. We traded favors, so a rich girl like you has no more business with a thief like me.
talk="p": 	Class means nothing, only personality matters.
con_Arlo.xml
==============================
talk="n": 	Welcome, Emere! What can I do for you?
talk="p": 	What are you selling?
talk="n": 	Well, Arlo the hardware specialist has a few things in stock...
talk="n": 	I've got some new smartphones, some from Lemon and Humanoid. I've also got lots of computer parts; I got a shipment just this morning of a new type of graphics card. Other than that, I'm selling headphones, laptops, peripherals, and tablets. Can I interest you in any?
talk="p": 	No, thanks. I'm just browsing.
talk="n": 	Okay, but if you purchase anything, purchase it from my side of the store, will you? I'm competing with my brother. Whoever gets the most customers gets to eat a feast paid by the loser.
talk="Kenji": 	Don't do it, Emere. I sell better stuff.
talk="n": 	That's not even close to true! Emere, you'll buy from me, right?
talk="p": 	I'm not taking sides. If I buy, it will be from both of you.
talk="p": 	How's your twin?
talk="n": 	He's the same as always. He doesn't get out much, you know? He's a bit too awkward as well.
talk="Kenji": 	You're talking as if I can't hear you.
talk="n": 	Oh, erm, well...
talk="p": 	Awkward!
talk="p": 	You've got a nice place here.
talk="n": 	Thanks! It was bought with the money my brother and I saved up from years of mining coal in the mines of Yarl.
talk="Kenji": 	It just goes to show you that hard work can really pay off.
talk="p": 	I've got a waiver for a free... what's it called? Mai HiMorph 430?
talk="n": 	What!? We don't offer waivers. And I don't think I've heard of that model before. Let me see it...
talk="n": 	Whoa! This is from Pierre! His company is the developer for the GTX series. If it's from him, I'll gladly give you one. He'll just have to pay me back.
talk="Kenji": 	What's this about you giving out stuff for free?
talk="n": 	Were you listening? Pierre's going to pay me back. Sorry for making you listen to us babble, Emere. Here's your hardware.
talk="p": 	Thanks!
con_Bongani.xml
==============================
talk="n": 	Welcome to Bongani's Pawnshop! What'll it be?
talk="p": 	I'd like to buy some ramen. Do you have any in stock?
talk="n": 	Haven't you been to a pawnshop before, girl? You trade things of equal value here. This ain't no convenience store.
talk="p": 	My bad.
talk="p": 	You have any board games I could trade for?
talk="n": 	Ah, you're one of those board game types. Let me take a look...
talk="n": 	I've got two. One called "Tokaido," another called "Roll for it." Each has a net worth of about #60.00. D'ya want either?
talk="p": 	(Expensive!) No, thank you. I don't have enough.
talk="n": 	Well, come back if you have some more.
talk="p": 	Any video games?
talk="n": 	I have only one. There're popular items these days. It's called "Gitaroo Man." Used, worth about #35.00. How's about a purchase?
talk="p": 	I don't have enough money for that one... Maybe I'll buy it later.
talk="n": 	It's a rare game. I can't guarantee I can hold it for you.
talk="n": 	Be safe out there, girl.
talk="n": 	Welcome to Bongani's Pawnshop! What'll it be?
talk="p": 	Do you have any lockets?
talk="n": 	A locket, eh? Looking for one in particular? I've got like seven different ones.
talk="p": 	It's made of silver and gold, if that helps.
talk="n": 	Oooh! Fancy. This must be it. Its value is... #175.00. Got something equal to that value?
talk="p": 	Of course I do.
talk="n": 	Show me.
talk="p": 	Sorry, I lied.
talk="n": 	Cheeky girl.
talk="p": 	No, I don't.
talk="n": 	Then what were you thinking when you wanted to pay for the locket?
talk="p": 	The truth is, that locket you have was stolen from this old lady. Her story is actually really sad...
talk="p": 	......
talk="n": 	That's some heavy stuff, girl. I understand completely. However, I do have a business to run and that piece is quite expensive. If you can give me something of slightly less value, say around #125.00, I'll consider it for Nakamura's sake. How does that sound?
talk="p": 	You are very generous, but how am I supposed to find an item like that? I'm not exactly rich.
talk="n": 	You ask all the tough questions. Try asking a politician. They are usually very rich, retired people who do politics on the side.
talk="p": 	I'll see what I can do. Thanks again!
talk="n": 	My pleasure, girl.
talk="p": 	How's business?
talk="n": 	Could be better. I've been barely keeping this place running. Not to mention preventing all the robberies in this area. Good thing I'm a big, burly man that no one wants to mess with. Har, har, har!
talk="p": 	You sure are. "Har, har, har."
talk="n": 	Don't be mocking me, girl.
talk="p": 	Where did you say I could find someone with a lot of money?
talk="n": 	Try Mourilyan. A lot of rich people settle there.
talk="p": 	(Excluding, of course, my family.) Thanks!
talk="p": 	How's this in exchange for the locket?
talk="n": 	Let's take a look...
talk="n": 	Oooh. That's a real fine piece there. I'd say it'd just about cover the cost of the locket.
talk="p": 	Sweet! It's a deal then.
talk="n": 	It's been a pleasure doing business with you, girl. Be sure to tell your friends to come on down to Bongani's Pawnshop.
talk="p": 	I sure will.
talk="n": 	You returned that locket, yet? Tell me how it goes.
talk="n": 	How did it go?
talk="p": 	It really brightened her day. Thank you for the huge discount!
talk="n": 	My pleasure, girl. I have a soft spot for old ladies.
talk="n": 	Welcome, Emere! What can I do for ya?
talk="p": 	Got anything interesting in stock?
talk="n": 	Just this morning some guy traded in a copy of Final Fantasy 6. I hear it's a great game.
talk="p": 	I'll have to play it some time.
talk="p": 	Have you heard anything from Nakamura?
talk="n": 	Yeah! She stopped by here to chat with me. She'd never been here before, even though this store is so close by. I think I've made a new customer.
talk="p": 	Glad to hear it!
con_Camilla.xml
==============================
talk="n": 	Welcome to the library! Do you have a library card?
talk="p": 	No, I don't. Are they free?
talk="n": 	Yep, the free version allows you to take out one book for a week. But if you want the premium version, where you get up to 10 books out for two months each, I can set you up for only #20.00 a month!
talk="p": 	I'll take the free version, please (I'm too poor to afford the premium version.)
talk="n": 	Here you go! If you ever want to upgrade, just let me know.
talk="p": 	Do you have "Catcher in the Rye"?
talk="n": 	That's an old book! Salinger, right? Some English teacher checked out all our copies. Sorry!
talk="p": 	I'm looking for "Ender's Game".
talk="n": 	Someone just took it out.
talk="p": 	Really? Oh, I think it might have been my brother, actually. He really likes sci-fi.
talk="n": 	It's a great genre. I personally prefer romance novels, myself.
talk="p": 	Does anyone actually buy the premium membership?
talk="n": 	...No. Is it too expensive?
talk="p": 	For my family, it is. Sorry.
talk="p": 	Do you have a copy of the Cerzan in stock?
talk="n": 	Yes, we do. If you don't mind me asking, why do you need it?
talk="p": 	I'm trying to save some one from a life of loneliness.
talk="n": 	Ah, so you're teaching them religion? That will help.
talk="p": 	Let's go with that. (Not quite what I'm doing. Actually, I think it's the opposite.)
talk="n": 	Here it is.
talk="p": 	Do you have "Catcher in the Rye"?
talk="n": 	That's an old book! Salinger, right? Some English teacher checked out all our copies. Sorry!
talk="p": 	I'm looking for "Ender's Game".
talk="n": 	Someone just took it out.
talk="p": 	Really? Oh, I think it might have been my brother, actually. He really likes sci-fi.
talk="n": 	It's a great genre. I personally prefer romance novels, myself.
talk="p": 	What do you do for fun?
talk="n": 	I like to watch anime. My favorite show is Madoka Magica.
talk="p": 	That's a great show! I've watched it like seven times. It's so dark, yet so interesting.
talk="n": 	A marvelous production indeed. I love the soundtrack as well.
con_Ciel.xml
==============================
talk="p": 	What do you do?
talk="n": 	I'm a pilot.
talk="p": 	Cool. I like planes too.
talk="n": 	We have something in common.
talk="p": 	Are you a pilot?
talk="n": 	Yes. I assume the goggles gave it away.
talk="p": 	I'm looking for some cloud syrup. Can you help me out? Do you own any?
talk="n": 	Yeah. The stuff's easy to get when I fly up in the sky. It's everywhere. However, I don't give it out for free.
talk="n": 	But I'll give you some if you answer my trivia quiz. No one so far has ever gotten all right.
talk="p": 	How many have tried?
talk="n": 	About 10 people, so it's not impossible. There are 5 questions that you have to get right. You have unlimited guesses, but some might be impossible for you to figure out. Talk to me when you are ready.
talk="n": 	Welcome to Ciel's Random Trivia Quiz! Let's get started.
talk="n": 	Which artist commonly uses elephants in their works as a symbol?
talk="p": 	Vincent Van Gogh.
talk="n": 	Wrong! No price for you.
talk="p": 	Salvador Dalí.
talk="n": 	Correct! Next question.
talk="n": 	As a body approaches the speed of light, which of the following properties increases: mass, length of the body, or angular momentum?
talk="p": 	Mass.
talk="n": 	Correct! Next question.
talk="n": 	Which book tells the tale set in the future, where Earth is saved from the aliens?
talk="p": 	The Foundation.
talk="n": 	Wrong! No price for you.
talk="p": 	Ender's Game.
talk="n": 	Correct! Next question.
talk="n": 	If you were to find the slope of the curve of f(x) then find the area under that resulting curve, what would be the result?
talk="p": 	f'(int(x)).
talk="n": 	Wrong! No price for you.
talk="p": 	f(f(x)).
talk="n": 	Wrong! No price for you.
talk="p": 	f(x).
talk="n": 	Correct! Last question.
talk="n": 	Which videogame series has sold the most copies in Japan?
talk="p": 	Mario.
talk="n": 	Wrong! No price for you.
talk="p": 	Pokémon.
talk="n": 	Correct! You win.
talk="n": 	Wow! You really know some complex stuff! Just give me a second and I'll grab your price.
talk="p": 	Final Fantasy.
talk="n": 	Wrong! No price for you.
talk="p": 	The Giver.
talk="n": 	Wrong! No price for you.
talk="p": 	Length of the body.
talk="n": 	Wrong! No price for you.
talk="p": 	Angular momentum.
talk="n": 	Wrong! No price for you.
talk="p": 	Pablo Picasso.
talk="n": 	Wrong! No price for you.
talk="n": 	Take your price.
talk="p": 	How does defeat taste?
talk="n": 	Not too bad. I'm just glad I found someone who understands the importance of knowledge as much as I do. I mean, you can't be the only one to answer all 5 questions without at least having a tiny passion for knowledge.
talk="p": 	Well, being a teacher helps.
talk="p": 	I've never been in a plane before.
talk="n": 	I give air tours if you are interested. They are only #300 per flight, a steal for a once in a lifetime opportunity to fly in a two-seater plane.
talk="p": 	I'd probably get motion sickness. Then it wouldn't be worth it. No thanks.
con_Daisuke.xml
==============================
talk="n": 	'ho arr ya? Get out 'fore I stabs ya!
talk="p": 	You're quite the fiesty little one.
talk="n": 	ARRGH! Not 'notha Cabagesaur! I got nearla 20 'lready.
talk="p": 	You're a fan of Gokuman cards? I used to collect them too.
talk="n": 	Ya don't know nothin' 'bout dem. I'm da Gokuman master. I know everythin' 'bout dem. Got dem all 'cept one. I spent all me cash on buying cards I 'lready own.
talk="p": 	Can't you trade with someone?
talk="n": 	U wot m8? 1v1 me! I'll stabs ya!
talk="p": 	Woah! Okay. (I guess he's touchy on the subject.)
talk="n": 	Ya says ya had cards? D'ya had a Holofoil Rare Grillidragon?
talk="p": 	No, I don't recall having that one.
talk="n": 	Dat's shame. I've some good cards tah trade for it.
talk="p": 	Hey, want to trade?
talk="n": 	Wat d'ya has?
talk="p": 	An... Oozetle?
talk="n": 	Lame. I 'lready has. Ya wastin' me time!
talk="p": 	Well, I guess I could trade my Flipachu.
talk="n": 	I has plentys of dem. Ya're a orrible trader! Get outa here 'fore I stabs ya!
talk="p": 	Holofoil Rare Grillidragon, of course.
talk="n": 	No ways! Trade me now 'fore I stabs ya! I'll give ya anythin' ya wants for it!
talk="p": 	Which one's worth the most?
talk="n": 	I have two of da Alejandro's Kew. I guess ya can have it. Let me get it.
talk="p": 	It's alright. You can have it.
talk="n": 	Ya got somethin' wrong wid ya head. But if ya offerin'... I'll be takin'!
talk="n": 	Trade success! Ya nice lady.
talk="p": 	Thank you.
talk="n": 	Trade success! Ya nice lady.
talk="p": 	Thank you.
talk="p": 	Enjoying the card?
talk="n": 	Yea! Me collection is complete. Now I'm da greatest kid on da block!
talk="n": 	Lady! Ya card is gettin' me alls the attention from me mates. I'm very happy!
talk="p": 	Great!
con_Door.xml
==============================
talk="p": 	(This door has always been locked. I have no idea why.)
talk="p": 	(This key fits!)
con_Ebisu.xml
==============================
talk="n": 	Child of light...
talk="p": 	You! I'd like a word with you. Care to explain what you've done to me?
talk="n": 	This is not the place to talk. Come, let us travel.
con_Edwin.xml
==============================
talk="n": 	Sigh...
talk="p": 	What's wrong, my pupil?
talk="n": 	Oh, hi, Ms. S It's nothing...
talk="p": 	Is it something you can't share with your art teacher?
talk="n": 	It's something stupid. I'll forget about it in a few days.
talk="p": 	If you say so.
talk="p": 	Okay. Just making sure.
talk="n": 	Aren't teachers supposed to be more pushy on these things? Or at least take a hint?
talk="p": 	I guess I fail as a teacher then.
talk="p": 	Did you fail a test or something?
talk="n": 	Whoa, you psychic or something? How'd you know?
talk="p": 	It was meant to be a joke. I thought you didn't care much for school.
talk="n": 	Well, you know my mother's been bugging me about my grades. The only class I'm passing is art, and that's because you're the only teacher I can stand. The rest despise my slow learning. Anyway, my mother has said if I don't improve, she'll ship me out of Naibu to some other school. I don't want to go there; I like it here in Mourilyan.
talk="p": 	So you decided to study hard in every class?
talk="n": 	Yeah, and it worked out for all of my classes except Ms. Q's class. She really hates my guts. She gave me a 67%, but I really got a high B. I can't believe her! I studied so much history too.
talk="p": 	You have any proof of that? I know Eira to be difficult some times, but I can't believe she'd do that.
talk="n": 	She told me to my face. Said she didn't bother grading mine cause she knew I'm a D student. I tried to explain that to my mother, but she thinks I'm lying. Now I'm going to have to move in two months.
talk="p": 	No! I won't allow one of my better pupils to move! I'll see if I can work my social magic on her to get her to change her mind. I'm sure I can do it.
talk="n": 	It'd mean everything to me. Thanks, Ms. S.
talk="n": 	Did you talk to Ms. Q for me?
talk="p": 	Not yet. When I get a chance, I will.
talk="n": 	You're the best, Ms. S.
talk="n": 	Did you talk to Ms. Q for me?
talk="p": 	I couldn't convince her. She's too biased toward your past grades.
talk="n": 	Well, thanks for the effort, Ms. S. If you can't do it, nobody can.
talk="n": 	Sigh...I guess I'm moving, then.
talk="p": 	I'm sorry. I know you're not lying and if I could, I would change your grade since I know you put in the effort.
talk="n": 	You sure you can't do anymore?
talk="p": 	I've tried everything I can. Eira keeps her computer with her at all times, so I can't sneak in and change the grade that way.
talk="p": 	If only I knew how to hack into the school system, I could change your grade so that you don't have to move.
talk="n": 	Hah! I know you're an art genius, but you don't know squat when it comes to computers.
talk="p": 	(Do I know anyone who is good with computers? Oh, wait...)
talk="p": 	Have you checked PowerSchool™ lately?
talk="n": 	Nah, there's no reason to.
talk="p": 	I think you might want to check it again.
talk="n": 	...No way! There's a second test grade where I got an A! Did you really do this for me, Ms. S?
talk="p": 	Yes, with a little help from a hacker genius, corporation CEO, and an overeager student. I just couldn't stand around as one of my best and brightest students left me.
talk="n": 	I am ecstatic! But, won't you get in trouble for this?
talk="p": 	The hacker put the test grade in for everybody, making sure it wouldn't affect anyone's average but yours and I'm pretty sure he's untraceable. There won't be any problems. Take that, Eira!
talk="n": 	I can't thank you enough! I'm going to paint you the best picture I've done yet, and gift it to you. You really are the best. Thank you!
talk="p": 	How's that painting coming?
talk="n": 	It's taking me a while, but I won't give up on it. Just like you didn't give up on letting me leave.
talk="p": 	I can't wait to see it!
talk="p": 	How are things going now?
talk="n": 	Life is good, Ms. S. I've told my friends that I'll be staying and we're having a party to celebrate. I get to stay in the town I love so much. And best of all, I get to see Ms. Q.'s irritated face every day as I improve in her class. It couldn't be better.
talk="p": 	I'm happy for you, Edwin.
con_Eira.xml
==============================
talk="p": 	Good day, Eira.
talk="n": 	Why, it is, is it not? I would much rather be outside enjoying the day than being in here correcting essays.
talk="p": 	I hear you. Teaching art isn't as easy as you would think.
talk="n": 	Why that's absurd! Of course it's easy! Just grade based on a rubric and you are done in no more than 10 minutes for your entire class.
talk="p": 	I guess. (Art is so much more than just a grade. Each student has their own style and own limits. But I can't convince you.)
talk="p": 	Hey, Eira.
talk="n": 	What is it that you need, Miss Art Teacher?
talk="p": 	You know your student Edwin?
talk="n": 	Oh, THAT child. I cannot tell you how many times he has interrupted my class and not done any work. Yet he still has the nerve to believe he can get a good grade.
talk="p": 	He has been trying very hard to improve his grades lately. If he doesn't, his mother will make him move.
talk="n": 	Sounds just like the child to only put in effort if there is a reward. He must not be improving that much if he is still failing my class.
talk="p": 	I was just talking to him, and he feels he did really well on his last test. However, his grade doesn't reflect that.
talk="n": 	Is he trying to get you to do his dirty work, then? I expect he told you that I fixed his grade at a certain level? Utter nonsense, that is. I would never give him a grade that he doesn't deserve.
talk="p": 	If you say so. (I don't believe Edwin would lie. And I don't like your attitude, Eira.)
talk="p": 	So you deny his claim then?
talk="n": 	Do you believe a child over a respected teacher, Emere? I cannot believe that you would even take his side on this issue.
talk="p": 	Was it a mistake on PowerSchool™?
talk="n": 	Of course not! I entered his grade in PowerSchool™ and when he saw his grade on PowerSchool™ and complained to me, I rechecked his grade on PowerSchool™ with his test and they were one and the same.
talk="p": 	Mistake in the grading?
talk="n": 	Argh! Do not make me get administration involved, Emere. They will gladly take my side when they view his grades and my academic history. Leave at once before you give me the chance to!
talk="p": 	Mind if I look at his test?
talk="n": 	That is, err, classified information. I am the only one who can administer and grade history tests.
talk="p": 	So if Edwin can't see what he got wrong, how can he improve?
talk="n": 	Why, he simply has to study harder. He knows the questions he took, and in his notes, if he has any, there should be all he needs to study for cumulative tests.
talk="p": 	Okay. I guess that kind of makes sense.
talk="n": 	Not now, Emere! I'm in the middle of something.
talk="n": 	YOU! Do not think that I would not take notice of the crimes you have committed!
talk="p": 	Why, I don't know what you're talking about. I just came by to ask you a question.
talk="n": 	Don't play dumb with me, Emere! I know you put in that extra test grade that I never administered!
talk="p": 	That's quite the accusation to a fellow teacher. You don't trust me?
talk="n": 	No, no I do not. The worst part is, administration doesn't trust me either. The log for PowerSchool™ shows that I input the grades this morning. Even though I don't have the paper tests, they still think I am crazy. Nobody believes me.
talk="p": 	Ah, karma is sweet, isn't it.
con_END.xml
==============================
talk="Emere": 	Tell me. Why did you raise me from the dead?
talk="Ebisu": 	To give you a chance. To be able to shine in the world like you were destined. But you were so cruelly robbed of this.
talk="Emere": 	So now you're going to take that away from me?
talk="Ebisu": 	Listen to me, daughter of the sun...
talk="Ebisu": 	You have done well. Lived your life as it was fated to be. Your flame was given a chance to burn in this world. Why are you not pleased?
talk="Emere": 	I don't want illusions! If you're going to take away it all, why do it in the first place? Why not let me live here in peace forever?
talk="Ebisu": 	Ah... I can feel it in the orbs. You did not spend enough time living through this world.
talk="Ebisu": 	You only collected the orbs in search of knowledge, did you not? And now that very knowledge you yearned for has turned into ignorance and hatred.
talk="Emere": 	That's not true! I collected the orbs because I loved to help people. I'm just angry that you hid the truth from me and now you're taking everything away.
talk="Ebisu": 	Child of light, I can't let you stay here. Nothing lasts forever. Your flame has reached the end of the wick.
talk="Ebisu": 	Your soul needs rest. Your life now has some happy memories to it that the people of Naibu will never forget.
talk="Ebisu": 	Rest in Peace.
talk="Emere": 	No, I'm not ready to--
talk="Ebisu": 	Was it not enough to help all those people? Was it all just so that you could gain some orbs and solve a mystery?
talk="Emere": 	I... I see.
talk="Emere": 	You know, you're right. I shouldn't focus on all the negatives. At least I'd been given a chance to live a full life helping others in this wonderful dream paradise.
talk="Ebisu": 	Ah... I can feel it in the orbs. You loved your time here and cherished the people and places you met. I am pleased.
talk="Ebisu": 	However, child of light, I can't let you stay here. Nothing lasts forever. Your flame has reached the end of the wick.
talk="Ebisu": 	Your soul needs rest. Your life now has some happy memories to it that the people of Naibu will never forget.
talk="Ebisu": 	Rest in Peace.
talk="Emere": 	Thank you.
con_Flora.xml
==============================
talk="p": 	Hey, Mom.
talk="n": 	Good morning, Sweetums!
talk="p": 	Do me a favor and never call me that again.
talk="n": 	Aww, okay. Grab some food while you are here.
talk="p": 	Will do. Thank you!
talk="n": 	Good morning, Emere! You're finally awake. I didn't want to wake you up on a weekend.
talk="p": 	I'm glad you are considerate of my sleeping habits.
talk="n": 	Well, it's kind of hard to wake you up at a reasonable time when you stay up until 1:00 AM every evening - sorry, morning.
talk="p": 	Well, EXCUUUUUUSE ME!
talk="n": 	I didn't know I raised a comedian.
talk="n": 	...
talk="p": 	You need something?
talk="n": 	Do you mind seeing how Kanna is doing? You know about today.
talk="p": 	Oh... I guess.
talk="n": 	Well? How is she?
talk="p": 	She seems fine, I don't think she remembers.
talk="n": 	Good. No need to worry her.
talk="n": 	Just in case, can you find something to cheer her up? I don't want to see her like she was last time.
talk="p": 	Why don't you do it yourself?
talk="n": 	She'd appreciate it more if it was you. You don't want to help your sister? You heartless sibling.
talk="p": 	It was just a question! Of course I'll help her.
talk="p": 	I'd do anything for my sister.
talk="n": 	As you should, if you are a nice sister.
talk="p": 	Hey now. Play nice. What do you think I should do for her?
talk="n": 	You should ask her for something she wants.
talk="p": 	Sounds easy enough.
talk="n": 	Go on! Talk to Kanna.
talk="p": 	She says she wants some candy from some elder. Know any clues?
talk="n": 	That's an obscure request. I have no idea, sorry.
talk="p": 	I know, right! (That's creepy... She said the same thing I did...)
talk="n": 	There's old people everywhere, they all give out candy. You'll have to ask around.
talk="p": 	I've found an old lady who seems down. Have you heard of the name Nakamura?
talk="n": 	It sounds familiar... Ah! I believe she used to work as a confectioner who traveled town to town selling sweets with her husband. She retired just recently.
talk="p": 	Her husband was murdered by thugs.
talk="n": 	How tragic!
talk="p": 	I've found something to make Nakamura happy, but I need a lot of money. Any chance I could get a raise on my allowance?
talk="n": 	Not a chance! You know how hard it's been after... he died.
talk="p": 	I know, I know, but in order to get something Kanna wants, I need to make a trade at the pawnshop.
talk="n": 	Well, you came to the wrong person to ask for money. Try asking our neighbors, they might help.
talk="p": 	(I'll be sure to skip next-door.)
talk="n": 	I'm busy right now, Emere. Can we talk another time?
talk="n": 	I'm busy right now, Emere. Can we talk another time?
talk="n": 	You've found something, I assume?
talk="p": 	Yes! I got some candy from Nakamura in Fujita.
talk="n": 	Candy, huh. I guess it works.
talk="p": 	Just you wait and see. She'll love it.
talk="n": 	Huh-huuh.
talk="n": 	Well, I'll be. Kanna seems happier than ever. You did a great job!
talk="p": 	It was quite the journey. I'm just glad I could cheer her up, though.
talk="n": 	You really are a great sibling and daughter.
talk="p": 	And you are a great mother (Except for your overdose of sass).
talk="n": 	You thinking something?
talk="p": 	No, nothing. (she knows me too well.)
con_Gabe.xml
==============================
talk="p": 	Hey, Gabe...
